Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Price,Collection Media Condition,Collection Sleeve Condition,Collection Notes
DTI-008,Jonny Lexxs,Caffeine Grooves (Naturally Blended),Dynamic Trax International,"12""",,2000,2466250,Uncategorized,2026-08-12 03:00:49,,,,
0-66120,Adina Howard,My Up And Down,EastWest Records America,"12""",,1995,487640,Uncategorized,2026-08-03 20:25:33,5,,,
EZS-7576,Al Mack,Acid Tech High,Easy Street Records,"12""",,1992,611862,Uncategorized,2026-08-11 14:17:10,15,,,
ELMIL 01,"Luis Malon, Ovach",Two Bridges,El Milagro Records,"12""",,2016,8568014,Uncategorized,2026-07-30 13:14:58,,,,
0824,Glenn Miller,Glenn Miller,Elbo,"Cass, Comp, Unofficial",,0,11968352,Uncategorized,2026-08-12 01:44:51,,,,
0-66622,Deee-Lite,Groove Is In The Heart!!!,Elektra,"12"", Single",,1990,3967,Uncategorized,2026-08-05 16:30:56,20,,,
7559-66445-0,Pete Rock & C.L. Smooth,They Reminisce Over You (T.R.O.Y.),Elektra,"12""",,1992,139989,Uncategorized,2026-08-11 20:02:32,,,,
ED 5478,Keith Sweat,Make You Sweat (Norman Cook Mixes),Elektra,"12"", Promo",,1990,184880,Uncategorized,2026-08-12 00:27:48,,,,
VOY PORTI L-41852,Arango,Voy Porti,Elephant Records (4),"12"", W/Lbl",,0,1060426,Uncategorized,2026-08-12 12:01:55,10,,,
12 EMI 5175,Kraftwerk,Pocket Calculator,EMI,"12""",,1981,14907,Uncategorized,2026-08-05 16:28:56,15,,Generic,
EI206-6,W-O-O-D,II,Energy Industries,"12""",,1999,85863,Uncategorized,2026-08-11 14:46:32,10,,,
0201X31,DJ Apple / Lawrence Siegel,Concentration Breaker / Floorplay,Extract Records,"12""",,2002,442480,Uncategorized,2026-08-07 17:59:54,15,,,
FABRICLG4 EP,Laurent Garnier,FabricLG4 EP,Fabric (2),"12"", EP, Cle",,2024,32521554,Uncategorized,2026-07-31 17:04:20,,,,
LPE / 6073,Javier Garcia,Tranquila,FonoVisa,"12""",,1997,2374328,Uncategorized,2026-08-11 13:37:10,25,,,
FFANTQ001,Clebert,Fresque Fantastique Vol.1,Fresque Fantastique,"12""",,2018,11650425,Uncategorized,2026-08-05 16:55:40,15,,,
GEN 010,Sparky (4),As You Like It EP,Generations,"12"", EP",,1997,71846,Uncategorized,2026-08-11 15:46:20,15,,,
GETTRAUM016,Mateo Dufour,Break It Up,Gettraum,"12""",,2026,37189200,Uncategorized,2026-07-31 20:26:50,,,,
GSRV001,Various,Various Blend,Gin Sonic Records,"12""",,2026,36660883,Uncategorized,2026-08-03 18:53:22,,,,
GR069,Beastie Boys,Body Movin',Grand Royal,"12"", W/Lbl",,1999,46071,Uncategorized,2026-08-08 18:19:21,10,,,
SPRO 7087 6 13870 1 8,Beastie Boys,Alive,Grand Royal,"12"", Promo",,1999,158864,Uncategorized,2026-08-11 20:11:03,,,,
"GREEN 001, ONE",Unknown Artist,Just,"Green, Green","12""",,1996,94767,Uncategorized,2026-08-12 02:10:59,,,,
GDR 10005,Romina,Taking You Deep,Groove Daddy Records,"12""",,1994,453934,Uncategorized,2026-08-12 01:46:42,,,,
GSR-009,Raze,Jack Up Work Your Body,Grove St.,"12""",,1986,37936,Uncategorized,2026-08-12 01:17:56,,,,
119-341-048-1DJ,D'Mingo,Rumba,H.O.L.A. Recordings,"12"", Promo",,1998,15422560,Uncategorized,2026-08-12 01:22:59,,,,
119-341-061-1DJ,La Descarga,Baile,H.O.L.A. Recordings,"12"", Promo",,1998,6864683,Uncategorized,2026-08-03 19:08:53,,,,
"119-341-056-1, 119-341-056-1 ST01",Reign (4),Tu Pun Pun,"H.O.L.A. Recordings, H.O.L.A. Recordings","12""",,1998,4189005,Uncategorized,2026-08-12 12:08:46,5,,,
HAL9000/20,Takashi Tsuzuki,Soundview,Hal 9000,"12"", Yel",,2003,179342,Uncategorized,2026-08-03 20:13:11,,,,
HTCT01,Marius Acke,Happiness Therapy Crucial Traxx 01,Happiness Therapy,"12"", EP, RE, Bla",,2025,34546669,Uncategorized,2026-08-03 15:02:39,,,,
HB 005,Marco Cannata & Peter Haubfleisch,5th Babe!,Hey Babe!,"12""",,1996,497818,Uncategorized,2026-08-12 11:51:43,5,,,
HJA-8906,Thompson & Lenoir,Can't Stop The House,House Jam Records,"12""",,1989,1147965,Uncategorized,2026-08-12 03:08:23,,,,
HT013,The New Club House,Party House,House Traxx (2),"12""",,0,2494443,Uncategorized,2026-08-08 16:14:14,25,,,
TPR 0003,Kei-Tee,Midnight Operation / Shake,"I Noks, Tang Eyes","12"", Single, Promo",,1997,15741613,Uncategorized,2026-08-08 17:41:45,20,,,
IDK001,Awly,You Having Fun? EP,Idontknow,"12"", EP, whi",,2025,33036702,Uncategorized,2026-07-29 20:23:51,,,,
DJFERN 27,Dutch Force,Deadline,Inferno,"12"", Promo",,2000,73166,Uncategorized,2026-08-12 02:42:35,,,,
IR 41-12,Artificial Flavor,E Station E.P.,Influence Recordings,"12"", EP",,1995,154378,Uncategorized,2026-08-05 18:07:33,10,,,
IT 021-6,Geezer,Puff In Me Sock,Intensiv,"12""",,2002,139113,Uncategorized,2026-08-08 18:07:56,15,,,
IR 12,Tribal Quest,Jump,International Records,"12""",,0,7949921,Uncategorized,2026-08-05 16:19:16,10,,,
069497457-1,Mya,Case Of The Ex (Whatcha Gonna Do),Interscope Records,"12""",,2000,242703,Uncategorized,2026-08-07 17:13:27,5,,,
IA01,Various,ia01,Intime Anthem,"12"", Ltd, Num",,2025,33841479,Uncategorized,2026-07-31 19:19:53,,,,
JKR001,Jay Ka,Jim Ka Ray,JKR (3),"10"", EP, Pin",,2024,30987526,Uncategorized,2026-08-06 17:45:34,25,,,
JO-01,"Mike Parton, Danny Parton",Jolene 01,Jolene Records (2),"12"", Single",,2024,32221038,Uncategorized,2026-07-29 20:29:53,,,,
JOULE07,Various,Numerous Agnomens Vol. II,Joule Imprint,"12""",,2018,12836758,Uncategorized,2026-07-31 17:07:01,,,,
JV06,D'Julz,Speak Up!,JV Recordings,"12"", EP",,2026,36137374,Uncategorized,2026-07-31 16:44:59,,,,
PRO-A-8311,Grace,Not Over Yet,Kinetic Records,"12"", Promo",,1996,81289,Uncategorized,2026-08-08 16:33:21,15,,,
KP 001,Taco,Put It On ,King Phish Records,"12"", EP, W/Lbl",,0,4108995,Uncategorized,2026-08-12 11:51:32,20,,,
KRONERT002,André Kronert,Drive It Like You Stole It,Kronert Enterprises,"12"", Col",,2025,33955908,Uncategorized,2026-07-31 17:18:55,,,,
LDPL001,Rigzz,Tools,Ladeep Records,"12""",,2018,11959704,Uncategorized,2026-08-03 19:58:39,,,,
73008-24093-1,TLC,Creep,LaFace Records,"12""",,1994,421766,Uncategorized,2026-08-03 19:22:18,,,,
54237-0,Reggie Rough Featuring Annette Taylor,I'm The Best,Lightyear Entertainment,"12""",,1998,5524300,Uncategorized,2026-08-11 14:03:01,5,,,
LUP 026,S' Dolce,Piano E Soul,LUP Records,"12"", Promo, W/Lbl",,1997,2502257,Uncategorized,2026-08-12 11:54:25,10,,,
M.A.D 015,North 90,Panorama EP,M.A.D Records,"12""",,2025,35823973,Uncategorized,2026-07-31 15:44:48,,,,
016,AGH,Rhythm On Rye,Mafddap Recordings Inc.,"12""",,1999,252921,Uncategorized,2026-08-12 01:52:56,,,,
MR 6,The Rainmakers,No Time,Main Room Records,"12""",,1996,702108,Uncategorized,2026-08-12 01:54:31,,,,
MAW-050,Jody Watley Featuring Roy Ayers,I Love To Love,MAW Records,"12""",,2000,9988199,Uncategorized,2026-08-12 01:05:49,,,,
088 155 859-1,Mary J. Blige,Family Affair,MCA Records,"12"", Single",,2001,554928,Uncategorized,2026-08-03 19:11:23,,,,
MCA-23816,Jody Watley,Some Kind Of Lover,MCA Records,"12"", Glo",,1987,476361,Uncategorized,2026-08-11 20:14:31,,,,
MEANT030V,Marc Houle,Breakout 12”,Meant Records,"12"", EP",,2026,36334363,Uncategorized,2026-08-11 13:52:59,20,,,
"MELP-169, MELP 202",David Morales & The Bad Yard Club Featuring Delta (9),Wind Up Your Body,"Mercury, Mercury","12"", Promo",,1997,406543,Uncategorized,2026-08-11 15:59:39,10,,,
MF031,Monster (4),Monster EPs Volume One,Mindfood Records,"12""",,1997,777479,Uncategorized,2026-08-07 17:29:14,10,,,
MNC002,Enzo Leep,Ultra Girl,miniclic,"12"", EP",,2025,33044484,Uncategorized,2026-07-31 16:37:24,,,,
MW0002,Twelve Clouds,Clear Up EP,Miracle Wax,"12"", EP",,2025,33044526,Uncategorized,2026-07-31 20:30:47,,,,
MKT002,Markantonio,Thru - In EP,MKT Records,"12"", EP, Promo, W/Lbl, Sti",,2005,2977410,Uncategorized,2026-08-12 00:30:54,,,,
MRH1,Volière,Tome I : La Révérence,Monsieur H,"12"", EP",,2018,11605768,Uncategorized,2026-07-31 16:41:55,,,,
MR-50009,The Hood (2) Featuring Bee K. Bones,Cosa Nuestra (Our Thing),Moon Roof,"12""",,1991,7035097,Uncategorized,2026-08-08 17:07:28,30,,,
MOTIVO049TP,Mandreucci,It's Impressive,Motivo,"2x12""",,2004,4554154,Uncategorized,2026-08-05 17:59:46,15,,,
M8-952M1,Jermaine Jackson,I Like Your Style,Motown,"LP, Album",,1981,1401288,Uncategorized,2026-08-07 17:10:06,5,,,
MOUSE 006,Cirez D,Horizons / Tigerstyle,Mouseville,"12""",,2007,1013635,Uncategorized,2026-08-12 02:50:43,,,,
MULENV002,Tish,Aloft,Mulen Records,"12""",,2015,6716835,Uncategorized,2026-08-03 19:48:30,,,,
MMI 9445,Inocybe,Inocybe E.P.,Music Man Records,"12"", EP",,1993,119777,Uncategorized,2026-08-12 02:04:28,,,,
MKIL 012,Nina Kraviz,Tarde Remixes,My King Is Light,"12"", Maxi",,2024,31176052,Uncategorized,2026-07-31 15:32:39,,,,
NDR 97001,Ballyhoo Featuring Xandra,Feelin' Good - Clubmixes,Native Dance Records,"12"", W/Lbl",,1997,8066904,Uncategorized,2026-08-12 02:08:58,,,,
NBG002,Connector,Interference (The Remixes),Natural Born Grooves Recordings,"12""",,2001,104122,Uncategorized,2026-08-03 19:59:26,,,,
NT 6704115,Floor Control,Love Will Make It Right,Natural Records,"12""",,1993,18216,Uncategorized,2026-08-12 01:32:22,,,,
NDATL043,Ben Hixon,Vision EP,NDATL Muzik,"12"", EP",,2026,37084188,Uncategorized,2026-08-12 03:20:30,,,,
NE 20324,E-Smoove Featuring Latanza Waters,Deja Vu,Nervous Records,"12""",,1998,128734,Uncategorized,2026-08-07 17:22:47,10,,,
NGR 013,Determination Featuring Jackie Wakefield,Here We Go,New Generation Records,"12""",,0,742554,Uncategorized,2026-08-08 17:20:36,15,,,
NSR001,Chris Geschwindner & Henry Hyde,NSR001,NorthSouth Records (2),"12"", EP",,2017,9787069,Uncategorized,2026-08-12 02:01:37,,,,
AR 902,DJ Hooligan,Do Watcha Like In Our House,Not On Label,"12""",,0,592728,Uncategorized,2026-08-11 15:32:16,10,,,
CF - 1,Clubland Refugees,Rock Da Beat,Not On Label,"12"", W/Lbl, Sti",,1996,25538152,Uncategorized,2026-08-12 11:52:00,10,,,
ETHE 10 ,J Dilla,Genius,Not On Label,"LP, Unofficial",,2022,23673419,Uncategorized,2026-08-05 17:07:48,30,,,
HOW1,DJ Jordan,Back To The Rave,Not On Label,"12""",,0,594851,Uncategorized,2026-08-05 18:12:27,10,,,
MP060,Teefah,I Am / Ghetto Fabulous,Not On Label,"12"", W/Lbl",,0,1503944,Uncategorized,2026-08-03 19:17:33,,,,
MP060,Teefah,I Am / Ghetto Fabulous,Not On Label,"12"", W/Lbl",,0,1503944,Uncategorized,2026-08-03 19:17:55,,,,
none,Various,Moist Mix I,Not On Label,"12"", Mixed",,1988,1387371,Uncategorized,2026-08-12 11:58:50,5,,,
PRK 235964,Tony White (16),To The Bones,Not On Label,"12""",,0,4831684,Uncategorized,2026-08-12 12:04:46,15,,,
NBN01,Goodfellas,Thrill Me,Not On Label (Goodfellas Self-released),"12""",,2000,510260,Uncategorized,2026-08-12 01:36:46,,,,
